fen,my_move
r1bqkb1r/pppp1ppp/2n2n2/8/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 3 5,Nc3
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 0 3,Nc6
r2qkb1r/pp1npppp/2p2n2/3p1bB1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nxd4
r1bqkb1r/pppp1ppp/5n2/8/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq - 0 6,c5
r1bqk2r/pp2bppp/2n1pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,Bd3
rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,c5
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 2 6,h3
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,h6
r1bqk2r/ppp2ppp/2p5/2b5/4P3/2NPP3/PPP3PP/R2QKB1R b KQkq - 0 8,Bxe3
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,c5
rnbqkb1r/ppp2ppp/8/3pP3/8/2P2Q2/P1PP2PP/R1B1KBNR b KQkq - 0 6,Be6
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,h6
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Be2
r1bqkb1r/pppp1ppp/2n2n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 4,Nxe4
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5
r1bqk1nr/pppp1ppp/8/4n3/1b2P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 2 5,Bd2
rnbqk2r/ppp1bppp/4pn2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 3 6,Nf3
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3
r1bq1bkr/ppp3pp/2n5/3pp1N1/8/3P1N2/PPP2PPP/R1BQK2R b KQ - 0 8,h6
rnbq1rk1/ppp2ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 6 6,e3
