fen,my_move,Your_Move_Eval,Best_Move_Eval,Eval_Difference,New_Move_Quality
rn1qkbnr/p1p1pppp/b7/1p6/P1pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 1 5,axb5,0.00,0.00,0.00,Unknown
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,-0.34,-0.68,0.34,Good
r1bqk2r/ppp2pp1/2np1n1p/4p3/1b2P3/P1NP1N2/1PPBBPPP/R2QK2R b KQkq - 0 7,Ba5,0.21,0.11,0.10,Best/Excellent
r1bqk2r/ppp1bpp1/2n1pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,-0.41,-0.54,0.13,Best/Excellent
r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,Nxc3,-1.67,-1.63,0.04,Best/Excellent
r1bqkb1r/pppp1ppp/2n5/4p3/2B5/2PP1N2/P1P2PPP/R1BQK2R b KQkq - 0 6,d5,-1.58,-1.63,0.05,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 5 4,Bc5,0.58,-0.12,0.70,Inaccuracy
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2N2N2/PPPPBPPP/R1BQ1RK1 b kq - 7 5,d6,-0.08,-0.13,0.05,Best/Excellent
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,c5,0.26,0.27,0.01,Best/Excellent
rnbqkb1r/ppp2ppp/4p3/8/3PP3/2P5/P4PPP/R1BQKBNR b KQkq - 0 6,b6,0.85,0.32,0.53,Inaccuracy
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bf4,-0.22,-0.68,0.46,Good
rn1qkb1r/ppp2ppp/8/3pP3/4n3/2N2B2/PPPP2PP/R1BQK2R b KQkq - 0 7,Qh4+,2.19,0.44,1.75,Mistake
rnbq1rk1/pp2bpp1/2p1pn1p/8/2pP3B/2NBPN2/PP3PPP/R2QK2R w KQ - 0 9,Bxc4,-0.26,-0.31,0.05,Best/Excellent
r1bqk2r/pppn1ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,-0.44,-0.31,0.13,Best/Excellent
r1bqk2r/pppn1pp1/4pn1p/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,-0.42,-0.48,0.06,Best/Excellent
rnbqkbnr/pp1ppppp/8/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,d6,0.50,0.28,0.22,Good
rnbqk2r/pppp1ppp/4pn2/6B1/2PP4/2b5/PP2PPPP/R2QKBNR w KQkq - 0 5,bxc3,0.00,0.00,0.00,Unknown
rnbq1rk1/pp2bpp1/2p1pn1p/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ - 0 8,Bh4,-0.32,-0.26,0.06,Best/Excellent
r1bqk2r/p1pp1ppp/2p2n2/2b5/4P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7,d6,0.53,0.31,0.22,Good
rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.03,-0.65,0.62,Inaccuracy
r2qkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2NbPN2/PP3PPP/R2QK2R w KQkq - 0 8,Qxd3,-0.17,-0.14,0.03,Best/Excellent
rnbq1rk1/ppppppbp/5np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQ - 4 5,e4,-0.50,-0.49,0.01,Best/Excellent
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,-0.45,-0.56,0.11,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq - 2 4,Bc5,0.08,-0.17,0.25,Good
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,-0.82,-0.79,0.03,Best/Excellent
rBbqkbnr/pp2pppp/8/2pp4/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,Rxb8,-0.44,-0.47,0.03,Best/Excellent
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,-0.18,-0.28,0.10,Best/Excellent
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,Nf6,0.24,-0.18,0.42,Good
rnbqk2r/ppppppbp/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 3 4,Nc3,-0.34,-0.27,0.07,Best/Excellent
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 0 6,Bg5,-0.25,-0.66,0.41,Good
r1bqk2r/ppp2ppp/2p5/8/4P3/2NPb3/PPP1Q1PP/R3KB1R b KQkq - 1 9,Bb6,-1.07,-1.26,0.19,Best/Excellent
r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 1 5,Nxc3,-0.67,-0.59,0.08,Best/Excellent
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/P2P1N2/1PP2PPP/RNBQKB1R b KQkq - 0 4,Bc5,-0.06,-0.40,0.34,Good
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,c5,0.18,0.05,0.13,Best/Excellent
rnbqkbnr/pppp1ppp/8/4p3/1P6/8/PBPPPPPP/RN1QKBNR b KQkq - 1 2,d6,-0.06,-0.25,0.19,Best/Excellent
rnbqkbnr/pp1p1ppp/4p3/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,b4,0.32,-0.17,0.49,Good
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 w - - 0 9,Be3,-0.90,-0.81,0.09,Best/Excellent
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b2P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,d6,0.21,0.17,0.04,Best/Excellent
r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,Nf3,-1.43,-1.29,0.14,Best/Excellent
rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,Nc6,0.28,0.27,0.01,Best/Excellent
